Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,13450.000000,13975.000000,13350.000000,13850.000000,13850.000000,1684800
2020-01-10,14000.000000,14100.000000,13650.000000,13675.000000,13675.000000,786000
2020-01-13,13675.000000,13825.000000,13600.000000,13700.000000,13700.000000,909000
2020-01-14,13700.000000,13900.000000,13200.000000,13200.000000,13200.000000,1623200
2020-01-15,13200.000000,13200.000000,12525.000000,12525.000000,12525.000000,2131200
2020-01-16,12525.000000,12950.000000,12525.000000,12675.000000,12675.000000,1389300
2020-01-17,12675.000000,12925.000000,12650.000000,12875.000000,12875.000000,715700
2020-01-20,12900.000000,13000.000000,12500.000000,12600.000000,12600.000000,1476400
2020-01-21,12600.000000,12750.000000,12275.000000,12350.000000,12350.000000,785900
2020-01-22,12350.000000,12500.000000,12150.000000,12425.000000,12425.000000,967100
2020-01-23,12600.000000,12675.000000,12400.000000,12425.000000,12425.000000,416700
2020-01-24,12425.000000,12425.000000,12025.000000,12075.000000,12075.000000,514300
2020-01-27,12075.000000,12075.000000,11500.000000,11575.000000,11575.000000,1244400
2020-01-28,11600.000000,11850.000000,10750.000000,11800.000000,11800.000000,1625300
2020-01-29,11500.000000,11775.000000,11500.000000,11650.000000,11650.000000,158200
